I II V1 V2 V3 V4 V5 V6
-6 -13 9 12 5 -4 -9 -11
-7 -16 7 11 3 -6 -11 -13
-8 -15 7 12 4 -6 -11 -13
-7 -13 8 14 5 -5 -10 -12
-7 -13 7 14 6 -5 -10 -12
-8 -13 7 15 7 -4 -9 -13
-8 -13 9 16 7 -4 -9 -13
-9 -14 10 17 7 -4 -10 -13
-9 -15 12 18 8 -3 -9 -12
-8 -14 13 20 10 0 -7 -11
-6 -13 15 23 13 2 -4 -8
-6 -14 13 24 13 2 -4 -7
-7 -15 11 24 12 2 -4 -6
-7 -14 10 24 12 2 -3 -5
-7 -14 10 24 13 3 -3 -5
-7 -15 11 25 13 3 -3 -5
-8 -15 12 26 14 2 -4 -5
-8 -15 13 28 15 2 -5 -5
-6 -13 15 31 18 4 -3 -5
-4 -12 16 33 20 5 -2 -5
-4 -12 17 33 19 7 -2 -6
-4 -13 17 32 18 6 -4 -8
-3 -13 16 34 19 5 -4 -8
-2 -12 15 35 19 5 -4 -8
-4 -12 15 36 20 6 -4 -8
-6 -14 15 36 21 5 -4 -8
-7 -13 16 39 22 6 -4 -8
-5 -12 17 40 23 7 -3 -6
-4 -11 18 42 24 8 -2 -6
-3 -11 19 44 25 9 0 -6
-3 -11 20 46 26 9 0 -6
-2 -11 20 47 27 10 1 -5
0 -11 18 47 26 9 0 -5
-2 -12 19 49 28 11 1 -3
-2 -10 18 49 27 11 1 -2
-2 -9 18 52 30 13 4 1
-3 -8 20 55 32 15 5 2
-3 -9 21 57 33 15 5 2
-2 -10 23 59 34 15 5 2
0 -9 24 62 35 16 6 3
1 -9 24 62 35 16 6 3
1 -9 24 63 36 17 7 3
2 -9 24 66 38 18 7 3
2 -7 23 66 38 18 7 2
2 -6 24 68 40 19 8 2
3 -5 23 70 42 19 7 2
3 -4 24 72 43 21 8 3
2 -3 25 75 45 22 9 5
4 -3 26 77 46 22 9 5
5 -2 27 79 48 23 10 6
5 -3 28 81 50 24 11 7
5 -3 29 82 50 25 11 8
4 -4 29 86 51 26 13 10
5 -3 29 87 51 25 13 11
6 -2 29 88 52 25 13 11
7 0 30 90 54 26 14 13
9 1 31 91 54 26 14 14
10 2 31 93 54 27 15 14
10 3 32 95 55 28 16 14
9 4 33 97 56 28 17 14
8 4 33 98 57 29 17 14
8 4 32 99 57 29 17 13
9 4 32 100 58 30 17 14
8 4 32 101 58 30 17 15
8 5 33 102 58 29 17 15
10 5 33 102 56 28 16 14
11 5 34 103 57 27 16 15
10 5 35 104 58 27 16 16
9 6 36 105 58 27 17 16
10 6 37 105 58 27 17 16
11 6 34 104 55 24 15 14
10 4 32 102 54 23 15 13
8 4 32 101 53 22 15 13
10 6 32 100 52 21 14 14
12 8 30 98 49 18 12 12
12 8 30 97 47 17 11 11
12 7 31 96 46 16 10 11
11 8 30 95 45 14 8 11
10 7 31 93 43 12 6 10
9 6 33 93 43 11 6 11
9 5 32 92 40 10 6 10
10 4 31 91 38 8 4 8
10 3 31 90 37 8 4 8
10 3 30 88 35 6 2 8
10 3 29 86 33 5 1 7
10 5 27 82 30 2 0 6
10 6 27 79 29 2 0 6
11 5 26 77 28 1 -2 5
11 4 26 75 26 -2 -4 4
10 2 26 74 25 -2 -4 4
10 2 26 72 24 -3 -4 4
11 3 25 69 21 -5 -5 3
11 3 24 68 20 -5 -4 3
10 3 25 68 21 -4 -4 4
10 3 24 66 20 -3 -4 5
9 2 23 63 19 -4 -4 4
7 1 23 60 19 -3 -4 5
5 1 23 60 20 -2 -3 5
5 0 23 58 19 -3 -4 4
5 -2 23 56 19 -3 -5 3
5 -2 22 54 17 -4 -6 1
6 0 22 51 17 -3 -6 1
7 1 21 49 17 -2 -5 2
6 1 20 47 17 0 -4 2
4 0 19 44 17 0 -4 1
3 0 19 40 16 0 -5 1
2 0 19 38 15 0 -5 1
1 0 20 37 16 1 -3 1
1 -2 20 35 16 2 -3 0
1 -3 20 32 15 3 -3 -2
-2 -5 20 30 14 3 -3 -2
-4 -7 19 27 13 2 -4 -3
-4 -7 18 25 13 2 -4 -3
-5 -7 16 23 12 1 -5 -3
-5 -7 15 20 11 1 -5 -4
-4 -6 15 18 10 0 -5 -4
-4 -5 13 15 9 -2 -6 -5
-6 -4 12 13 9 0 -6 -6
-5 -4 11 12 7 -3 -7 -8
-2 -3 11 11 6 -3 -6 -8
-3 -2 12 11 5 -3 -6 -8
-5 -4 11 9 5 -3 -6 -8
-6 -5 10 7 4 -3 -6 -8
-7 -5 9 6 3 -3 -7 -9
-7 -5 9 5 3 -3 -6 -8
-7 -6 10 5 4 0 -3 -5
-8 -6 10 4 4 0 -3 -5
-8 -7 9 3 3 0 -4 -6
-9 -7 9 3 4 1 -3 -5
-9 -8 8 3 3 1 -3 -5
-8 -8 8 2 3 1 -2 -6
-8 -8 8 1 3 0 -2 -6
-7 -7 8 0 2 -2 -4 -8
-7 -6 8 0 1 -2 -4 -7
-7 -5 7 -2 0 -3 -4 -7
-7 -4 7 -2 1 -2 -3 -6
-7 -3 8 1 3 1 -2 -4
-5 0 8 1 3 1 -3 -4
-4 -2 8 0 3 2 -2 -3
-7 -5 7 -2 2 2 -2 -4
-8 -7 7 -2 2 1 -3 -4
-7 -6 9 1 4 2 -3 -3
-7 -6 10 2 4 2 -2 -3
-9 -7 10 2 4 3 0 -3
-9 -7 8 1 3 3 -2 -3
-10 -7 7 1 3 2 -2 -4
-11 -6 7 1 3 2 -3 -5
-9 -5 6 1 2 0 -4 -6
-8 -4 6 1 2 0 -4 -6
-6 -2 6 1 2 0 -4 -6
-7 0 7 2 3 1 -4 -6
-8 -3 7 2 3 1 -4 -6
-9 -4 6 2 3 0 -4 -6
-8 -3 6 2 3 0 -4 -6
-8 -2 7 3 4 2 -2 -5
-8 -2 7 3 6 3 -2 -5
-9 -2 7 4 6 3 -2 -4
-9 -2 6 4 5 3 -2 -4
-8 0 8 4 6 4 1 -3
-6 1 9 5 8 5 2 -3
-6 1 9 7 8 4 0 -3
-7 -2 9 6 7 3 -3 -3
-9 -4 9 6 7 3 -2 -2
-8 -3 8 6 7 3 -2 -3
-7 -2 8 5 7 3 -2 -3
-7 0 8 5 8 4 -2 -3
-7 0 8 6 8 5 -3 -4
-7 -2 9 6 8 5 -3 -5
-8 -2 9 7 9 6 -2 -5
-9 -3 7 7 9 6 0 -6
-9 -2 8 8 10 6 1 -5
-6 0 9 9 11 7 2 -4
-5 0 8 9 11 6 2 -3
-6 0 8 9 11 7 2 -2
-7 -2 8 9 10 6 2 -2
-8 -3 9 10 12 8 4 1
-8 -3 9 10 13 9 5 2
-9 -2 10 11 13 10 6 2
-7 -2 9 10 13 10 6 2
-5 0 8 10 12 9 6 1
-4 1 8 11 13 10 6 1
-5 2 8 10 12 9 5 0
-6 0 8 10 12 8 4 -2
-5 1 7 9 12 7 2 -3
-5 1 7 9 12 7 2 -3
-7 -2 6 9 12 8 2 -4
-9 -3 6 8 11 8 2 -3
-8 -2 7 9 12 9 3 -2
-8 0 7 9 12 9 3 -2
-8 -3 7 9 12 9 3 -2
-8 -5 7 8 12 9 3 0
-7 -4 6 8 12 9 3 0
-7 -3 6 8 12 10 4 1
-6 -3 5 7 10 9 2 0
-5 -2 5 6 10 8 2 -2
-4 -2 4 5 9 7 1 -3
-5 0 4 6 9 8 2 -3
-6 0 6 7 11 9 3 0
-7 0 5 7 10 8 2 -2
-8 -3 5 6 10 8 2 -3
-8 -4 5 5 8 7 1 -3
-6 -2 4 5 9 8 2 -2
-5 0 3 4 9 8 2 -2
-5 0 2 4 8 6 1 -4
-4 1 3 4 8 6 1 -4
-3 2 3 3 7 6 0 -3
-5 1 5 3 8 7 0 -4
-8 0 3 2 7 6 -2 -6
-9 -2 3 1 6 6 -2 -7
-9 -2 4 2 6 5 -2 -6
-9 -2 5 2 6 5 -2 -5
-10 -2 5 1 5 5 -2 -6
-9 -3 4 0 5 5 -2 -6
-6 -3 2 -2 4 4 -3 -7
-4 -2 0 -3 3 3 -3 -8
-3 -2 1 -3 3 3 -3 -7
-5 -2 2 -2 3 4 -2 -6
-9 -3 1 -3 3 4 -3 -6
-8 -3 1 -4 2 3 -4 -6
-5 -2 2 -3 3 4 -3 -5
-4 0 3 -2 4 4 -3 -5
-8 -4 1 -5 2 2 -4 -7
-9 -7 1 -5 1 2 -4 -8
-6 -4 2 -4 1 3 -4 -8
-5 -2 2 -4 1 3 -3 -8
-7 -3 1 -4 0 3 -4 -8
-7 -3 2 -4 1 3 -4 -7
-6 -2 2 -5 0 2 -5 -8
-7 -3 2 -5 1 2 -4 -7
-6 -3 -2 -7 -2 0 -6 -9
-6 -4 0 -7 -2 1 -6 -9
-7 -4 -2 -7 -3 0 -7 -10
-8 -4 -2 -7 -2 -2 -8 -11
-6 -4 0 -7 -2 -2 -7 -10
-5 -3 -2 -8 -3 -2 -6 -10
-5 -3 -2 -9 -4 -2 -6 -9
-6 -4 -2 -8 -3 0 -5 -8
-8 -5 0 -8 -3 1 -4 -7
-9 -5 0 -8 -3 0 -5 -7
-9 -5 0 -8 -3 0 -5 -7
-8 -5 0 -8 -2 0 -4 -7
-7 -5 0 -9 -3 -2 -5 -8
-6 -5 -2 -9 -3 -2 -5 -7
-6 -5 -2 -9 -3 -2 -5 -7
-7 -4 -3 -9 -3 -2 -5 -7
-7 -4 -3 -9 -4 -2 -5 -8
-7 -4 -2 -9 -5 -2 -5 -9
-5 -3 -2 -10 -5 -2 -6 -9
-4 -3 -2 -9 -5 -3 -7 -9
-5 -4 0 -9 -5 -3 -7 -10
-6 -5 0 -9 -5 -3 -6 -9
-6 -6 0 -9 -5 -3 -6 -8
-6 -6 -2 -9 -5 -3 -6 -8
-6 -5 -2 -9 -4 -3 -6 -8
-5 -4 -3 -10 -5 -3 -6 -8
-5 -4 -3 -10 -5 -3 -6 -8
-5 -4 -4 -11 -6 -3 -6 -9
-7 -5 -3 -11 -6 -3 -6 -9
-8 -5 0 -10 -5 -3 -6 -8
-8 -4 -2 -10 -6 -4 -7 -9
-8 -5 0 -10 -6 -3 -7 -9
-9 -6 -3 -11 -7 -5 -8 -10
-9 -6 -3 -12 -7 -6 -8 -11
-8 -5 -2 -12 -5 -4 -7 -10
-6 -2 -3 -12 -6 -5 -8 -11
-5 -2 -2 -11 -6 -5 -8 -10
-7 -4 -3 -12 -7 -5 -9 -11
-8 -5 -2 -12 -7 -4 -8 -10
-7 -4 -2 -11 -7 -5 -8 -10
-6 -4 -2 -11 -6 -5 -7 -10
-6 -4 -2 -12 -6 -5 -8 -11
-7 -4 0 -12 -6 -5 -8 -11
-8 -4 0 -11 -5 -5 -8 -10
-7 -5 0 -11 -6 -5 -8 -10
-7 -5 -2 -12 -7 -5 -9 -10
-7 -6 0 -11 -6 -4 -8 -9
-7 -5 0 -11 -6 -5 -8 -10
-8 -4 0 -10 -6 -4 -8 -10
-8 -3 1 -10 -5 -4 -8 -10
-9 -3 1 -10 -5 -4 -7 -10
-7 -2 2 -9 -4 -3 -7 -10
-6 1 3 -8 -4 -3 -7 -9
-6 1 3 -8 -4 -2 -6 -9
-5 2 2 -8 -4 -2 -6 -9
-4 3 2 -8 -4 0 -6 -8
-3 4 3 -8 -3 0 -5 -7
-3 6 4 -6 0 2 -3 -6
-3 7 4 -6 0 2 -4 -7
-5 7 4 -5 1 3 -3 -6
-8 6 5 -5 1 3 -2 -6
-7 6 6 -5 1 3 -2 -6
-6 7 7 -5 1 2 -3 -7
-5 8 8 -3 1 2 -3 -6
-4 8 8 -3 1 2 -4 -7
-4 9 9 -3 2 3 -3 -5
-4 11 10 -2 3 4 -3 -4
-3 12 11 2 6 7 1 0
0 13 11 3 7 8 3 1
0 14 10 2 8 9 4 1
-2 16 11 4 9 11 6 3
1 20 11 6 11 13 9 5
6 25 9 6 12 14 10 7
7 25 6 5 12 13 10 8
5 22 4 3 11 13 9 7
5 19 1 1 8 11 7 5
5 15 -2 -2 6 8 4 3
4 13 -4 -4 3 6 2 0
3 13 -4 -3 4 7 3 1
4 14 -3 -3 3 6 3 2
5 15 -5 -6 1 4 3 1
5 12 -7 -8 0 3 3 0
4 10 -8 -7 0 4 3 1
3 9 -8 -7 0 4 3 2
3 11 -10 -9 -2 2 2 1
3 13 -10 -11 -3 2 3 2
3 16 -9 -12 -3 2 3 2
3 18 -8 -12 -3 2 3 2
3 18 -8 -13 -4 2 2 1
1 15 -8 -14 -6 0 0 -2
-4 11 -7 -15 -7 -3 -3 -4
-7 8 -5 -13 -7 -3 -4 -6
-9 5 -3 -12 -6 -3 -4 -7
-8 2 -3 -13 -7 -4 -6 -8
-7 0 -6 -15 -9 -6 -8 -10
-6 -3 -7 -16 -11 -8 -10 -12
-7 -5 -7 -16 -12 -8 -11 -13
-7 -6 -6 -16 -12 -8 -11 -13
-8 -7 -7 -17 -12 -10 -11 -14
-9 -8 -7 -18 -12 -9 -11 -13
-8 -9 -8 -18 -13 -10 -12 -14
-7 -8 -9 -19 -13 -11 -12 -14
-7 -8 -9 -19 -13 -10 -12 -14
-8 -7 -9 -18 -12 -10 -11 -13
-9 -8 -8 -17 -11 -9 -11 -13
-9 -8 -7 -16 -11 -9 -11 -13
-10 -7 -6 -14 -10 -7 -10 -11
-7 -5 -6 -14 -10 -7 -10 -12
-5 -4 -6 -14 -9 -7 -10 -13
-6 -6 -6 -15 -10 -8 -11 -13
-8 -8 -6 -15 -10 -8 -11 -12
-9 -10 -5 -14 -10 -8 -10 -12
-8 -10 -6 -15 -11 -9 -11 -13
-8 -9 -5 -14 -11 -8 -10 -12
-8 -8 -4 -13 -11 -7 -10 -11
-9 -7 -4 -13 -10 -7 -9 -11
-7 -4 -6 -14 -11 -7 -9 -11
-6 -5 -6 -15 -11 -7 -9 -13
-9 -8 -6 -14 -11 -8 -10 -13
-9 -8 -6 -15 -10 -8 -10 -12
-9 -8 -6 -13 -10 -7 -9 -11
-9 -8 -6 -13 -10 -7 -8 -11
-9 -9 -6 -13 -10 -7 -9 -11
-8 -8 -6 -13 -10 -6 -9 -11
-7 -7 -6 -14 -10 -7 -10 -12
-7 -8 -6 -14 -11 -7 -11 -12
-8 -8 -5 -13 -10 -6 -10 -12
-8 -8 -6 -14 -10 -6 -10 -12
-7 -8 -6 -13 -10 -6 -10 -13
-6 -6 -5 -12 -10 -6 -10 -13
-7 -6 -2 -10 -8 -6 -9 -12
-9 -9 0 -9 -8 -7 -10 -13
-9 -11 1 -7 -7 -7 -11 -14
-8 -10 4 -3 -4 -7 -13 -16
-9 -10 8 7 2 -4 -12 -16
-11 -12 11 16 9 0 -13 -17
-12 -12 16 28 21 8 -9 -15
-9 -8 19 40 34 18 -3 -12
-7 -4 25 58 56 36 11 -4
-5 3 33 81 85 63 29 9
-2 11 42 104 118 96 53 23
5 18 46 118 153 131 77 37
12 23 53 137 192 172 104 52
18 28 62 154 232 213 132 68
24 35 66 162 265 248 157 85
29 46 66 163 287 279 183 104
38 56 52 142 286 289 199 121
47 62 22 90 245 264 196 128
54 66 -20 7 157 196 169 126
55 68 -68 -113 24 89 120 113
48 65 -114 -258 -127 -32 59 89
36 47 -152 -392 -265 -145 -12 51
25 20 -190 -504 -386 -245 -80 9
22 -2 -232 -582 -471 -311 -123 -16
26 -11 -260 -603 -493 -328 -136 -22
30 -13 -269 -578 -477 -319 -136 -23
29 -13 -267 -549 -457 -308 -137 -24
22 -8 -257 -514 -431 -294 -132 -24
10 8 -234 -464 -387 -264 -119 -20
0 24 -208 -407 -336 -228 -100 -11
-5 31 -191 -362 -296 -200 -86 -6
-7 27 -181 -329 -268 -183 -80 -9
-10 22 -171 -297 -241 -165 -76 -13
-10 22 -159 -264 -214 -147 -69 -14
-9 22 -147 -234 -190 -131 -62 -13
-8 19 -132 -205 -166 -115 -56 -13
-7 16 -114 -176 -144 -100 -50 -14
-5 14 -97 -145 -120 -83 -43 -13
-4 12 -78 -114 -97 -67 -35 -11
-3 8 -59 -87 -75 -52 -27 -10
-4 4 -45 -66 -59 -40 -22 -9
-5 0 -35 -53 -48 -34 -19 -9
-4 -2 -27 -40 -37 -27 -15 -7
1 1 -20 -30 -29 -22 -14 -7
1 1 -15 -22 -23 -19 -12 -5
-3 -2 -10 -16 -19 -15 -10 -4
-6 -5 -7 -11 -16 -12 -9 -4
-6 -7 -5 -8 -14 -12 -9 -5
-6 -8 -5 -7 -14 -13 -11 -7
-6 -10 -5 -6 -12 -12 -11 -8
-6 -12 -4 -4 -11 -11 -11 -9
-6 -10 -2 -2 -10 -10 -10 -8
-6 -9 -3 0 -9 -10 -11 -9
-6 -9 -3 2 -8 -10 -10 -9
-4 -7 -2 4 -7 -9 -10 -9
-3 -5 0 5 -6 -8 -9 -8
-5 -6 2 7 -4 -6 -8 -8
-6 -8 3 8 -4 -7 -8 -8
-6 -9 4 9 -3 -7 -9 -8
-5 -10 4 11 -3 -6 -8 -9
-4 -11 5 13 -2 -5 -8 -9
-3 -11 5 14 0 -4 -7 -8
-3 -10 4 14 1 -4 -7 -8
-3 -9 3 14 1 -5 -7 -8
-4 -9 4 16 3 -3 -6 -6
-5 -8 5 17 4 0 -5 -5
-5 -7 6 17 5 0 -4 -6
-5 -8 8 19 6 1 -3 -6
-5 -9 10 20 5 0 -4 -6
-5 -9 10 21 7 1 -4 -6
-4 -10 10 22 8 1 -4 -7
-4 -12 10 23 9 2 -4 -6
-4 -11 9 23 9 2 -5 -6
-3 -9 9 24 9 2 -4 -6
-2 -8 10 25 10 2 -3 -6
-4 -10 10 25 10 2 -4 -6
-5 -12 10 26 10 2 -4 -7
-4 -10 12 27 11 3 -4 -7
-4 -9 14 30 13 5 -3 -6
-5 -10 14 30 13 5 -3 -7
-4 -11 14 30 12 4 -3 -9
-2 -10 13 31 13 4 -4 -9
-2 -9 13 32 14 4 -4 -8
-2 -9 13 33 14 4 -4 -7
-2 -9 14 34 15 5 -3 -6
-2 -9 14 35 16 6 -2 -5
-2 -8 15 36 17 7 0 -4
-2 -8 17 39 19 9 2 -3
-2 -8 19 42 21 10 3 -2
-3 -9 17 42 21 10 2 -2
0 -9 16 43 21 10 2 -3
2 -8 16 44 23 11 3 -2
3 -7 16 45 24 11 3 -2
2 -7 16 45 24 11 3 0
1 -7 16 46 24 12 3 1
-2 -7 16 47 25 12 3 0
-2 -7 18 49 27 13 4 -2
0 -6 20 52 29 15 5 0
1 -7 22 54 30 15 6 1
2 -7 21 55 30 15 5 1
3 -6 21 57 30 15 6 1
4 -6 21 58 29 15 5 2
3 -6 21 59 30 16 6 3
1 -6 19 59 30 16 5 1
1 -5 20 61 32 17 6 2
2 -4 22 63 34 18 7 4
3 -3 24 66 36 20 9 6
3 -2 25 67 37 21 9 6
3 -3 27 70 40 23 11 7
3 -3 28 71 42 23 11 7
3 -4 27 73 43 23 11 6
3 -4 27 75 44 23 12 7
6 -2 26 75 45 23 12 8
9 2 26 77 45 24 13 9
8 2 27 80 47 26 15 11
5 0 28 81 47 26 15 11
3 1 29 84 50 28 17 11
4 2 30 87 51 28 17 11
5 3 31 89 52 28 17 11
5 2 33 92 53 30 18 12
8 3 31 92 53 30 17 12
10 5 32 95 54 30 19 13
9 5 31 96 56 31 19 13
7 5 30 98 56 32 19 14
7 6 31 99 57 33 20 15
8 6 31 100 58 33 20 16
8 7 32 102 59 34 21 17
10 8 33 104 60 34 21 17
13 9 36 106 61 36 22 18
15 10 37 107 62 37 23 19
15 10 35 108 61 35 23 19
15 9 34 108 60 33 22 18
15 10 34 108 61 33 22 19
15 11 33 108 60 32 21 18
14 12 33 109 60 32 21 19
16 13 34 109 59 31 21 19
15 13 36 111 60 32 22 19
14 12 36 110 59 31 21 18
13 11 38 110 58 30 21 19
13 10 38 110 58 29 21 19
13 10 37 110 57 28 20 19
14 10 37 109 56 27 20 19
15 11 36 108 53 25 19 18
16 11 36 107 52 24 18 19
16 11 35 106 50 22 17 19
14 11 34 105 49 22 16 18
12 10 34 103 47 21 14 16
14 9 33 101 45 19 13 15
17 11 35 101 45 19 14 16
16 11 35 100 43 17 13 15
13 9 34 97 40 15 10 13
13 7 33 94 37 12 8 11
14 8 33 93 37 11 8 12
14 9 31 91 34 9 7 12
13 8 29 89 33 7 6 12
11 8 30 88 31 6 5 12
10 8 30 85 29 5 4 10
12 8 29 82 27 3 3 9
14 8 30 80 26 3 3 9
15 8 29 78 24 2 2 8
14 7 29 76 24 2 3 8
12 6 29 74 24 2 3 9
11 6 28 72 23 1 3 8
12 7 27 70 21 0 2 8
13 7 24 66 19 -2 0 6
11 5 24 64 18 -2 0 6
6 3 25 63 18 -2 0 6
6 4 26 62 18 0 1 6
7 4 26 60 18 -2 0 5
6 4 26 59 18 0 1 4
7 3 26 57 18 1 1 4
7 2 25 55 18 1 1 3
6 1 25 53 18 2 2 3
5 1 23 50 17 1 1 3
6 3 22 47 16 1 1 3
6 3 21 45 16 2 1 3
4 2 20 42 17 3 2 3
3 2 21 40 16 3 1 2
5 3 20 37 16 4 1 2
4 1 19 35 15 4 1 2
2 -3 18 32 14 3 0 0
1 -4 17 30 14 4 1 0
1 -2 17 29 14 5 1 1
2 0 16 26 13 4 0 0
1 1 15 24 13 4 0 -2
1 1 14 23 12 4 1 0
0 0 13 21 11 4 2 1
-4 -5 12 19 9 3 1 0
-5 -6 13 17 9 3 1 0
-3 -5 13 16 9 4 1 0
-2 -4 12 15 8 4 1 0
-4 -4 13 15 9 5 3 1
-4 -4 11 13 8 4 2 0
-4 -4 10 11 7 4 2 -2
-5 -4 10 10 6 3 2 -2
-5 -4 10 9 6 3 1 -3
-6 -4 11 9 7 4 2 -2
-6 -4 12 8 7 5 2 -3
-6 -4 13 8 7 5 2 -2
-6 -4 12 8 6 5 2 -2
-6 -5 10 6 5 4 1 -3
-7 -6 9 5 4 3 0 -3
-8 -7 9 3 3 3 -2 -4
-7 -5 8 3 4 3 -2 -3
-3 -2 9 4 5 3 0 -3
-2 -2 9 4 5 3 0 -2
-6 -2 8 5 5 3 1 -3
-7 -2 9 5 4 3 1 -3
-7 -3 10 6 4 3 2 -2
-7 -4 10 6 4 3 1 -3
-5 -3 11 6 5 4 2 -3
-3 0 11 6 5 5 2 -2
-5 -2 10 6 5 5 1 -2
-7 -5 8 5 4 4 1 -3
-7 -4 9 5 5 4 1 -2
-7 -3 10 6 6 5 2 0
-6 -3 8 5 5 4 1 -3
-6 -4 8 5 6 5 2 -4
-7 -4 9 6 6 5 2 -3
-5 -2 10 8 8 7 3 0
-5 -2 10 8 8 7 4 0
-7 -4 10 7 7 6 3 -3
-7 -4 11 8 7 6 3 -3
-6 -2 11 8 8 6 3 -2
-5 0 10 8 8 6 3 0
-5 0 10 8 9 6 3 0
-5 0 10 9 9 7 4 0
-6 -2 11 10 10 8 4 1
-6 -3 11 10 10 7 4 1
-6 -3 11 11 10 7 4 1
-6 -3 11 11 11 8 4 1
-7 -3 12 12 12 9 5 2
-6 -3 10 11 11 9 4 1
-5 -3 10 11 11 9 5 1
-5 -2 11 13 12 10 6 2
-3 1 11 13 13 10 6 3
-4 0 12 14 14 11 7 3
-7 -2 11 13 13 10 5 1
-7 -3 13 14 14 12 6 1
-5 0 13 14 14 12 6 1
-4 2 13 14 15 12 7 0
-5 1 12 14 15 10 6 0
-7 -2 10 13 13 8 5 -2
-7 -2 10 13 13 9 5 0
-7 1 11 15 15 11 6 1
-6 0 12 15 16 11 6 2
-6 -2 13 14 16 11 6 2
-6 -2 12 15 17 12 8 2
-6 -2 12 16 18 13 9 3
-6 -2 11 16 17 14 9 3
-4 -2 10 15 16 13 8 3
-4 -2 10 15 15 12 8 3
-4 -2 10 14 14 12 7 3
-5 1 10 14 16 13 7 3
-4 2 9 13 16 12 6 2
-6 0 10 14 16 14 8 3
-8 -2 10 14 16 14 8 3
-7 -2 10 14 16 14 8 3
-5 0 11 14 17 14 7 3
-6 -2 10 14 16 13 7 2
-9 -4 10 15 17 13 8 3
-8 -4 10 14 17 13 8 2
-4 -2 10 13 16 12 8 1
-3 -2 9 12 15 11 7 0
-6 -3 8 12 14 11 6 0
-7 0 10 13 16 12 7 1
-5 1 10 13 16 12 7 1
-5 0 10 12 15 11 7 0
-6 -2 10 12 14 11 7 0
-7 -2 10 11 13 11 7 0
-6 -2 10 10 14 11 7 -2
-6 -2 10 10 14 11 6 0
-7 -2 9 8 13 10 5 -2
-7 -3 9 8 12 9 4 -2
-7 -3 9 9 12 10 5 -2
-6 -3 8 8 11 10 5 0
-4 -3 8 8 11 10 5 1
-3 -3 8 7 10 9 4 -2
-5 -4 8 7 10 8 4 -2
-6 -5 8 7 10 8 3 -2
-5 -5 7 7 11 8 3 -3
-4 -5 6 5 10 7 2 -4
-5 -5 6 6 10 8 4 -2
-6 -4 7 6 10 8 4 0
-6 -3 7 5 9 7 3 -2
-5 -3 7 5 10 8 4 -2
-6 -4 7 5 10 8 5 0
-7 -5 6 4 8 7 3 -2
-7 -6 7 4 8 7 3 -2
-6 -7 7 3 8 7 3 -3
-6 -7 6 2 8 7 3 -3
-7 -6 6 2 8 7 3 -3
-6 -6 5 1 7 6 2 -4
-8 -6 6 1 7 6 2 -3
-9 -6 5 0 5 5 1 -4
-7 -4 5 0 6 5 2 -3
-5 -3 5 0 6 5 2 -3
-9 -5 6 1 6 5 2 -3
-10 -8 5 0 5 4 1 -4
-8 -8 6 1 6 4 2 -4
-6 -7 6 0 5 3 2 -5
-7 -7 6 0 5 3 1 -5
-8 -7 6 -2 4 3 0 -6
-8 -7 5 -3 3 3 -2 -6
-8 -6 4 -3 3 3 -3 -6
-8 -6 3 -3 3 3 -3 -5
-8 -5 3 -3 3 3 -2 -5
-7 -5 3 -4 2 2 -3 -6
-7 -5 4 -4 2 2 -2 -6
-6 -5 4 -4 2 2 -3 -6
-6 -6 3 -5 2 1 -3 -7
-7 -6 3 -5 2 1 -2 -6
-8 -6 3 -5 2 0 -2 -6
-8 -6 3 -5 2 0 -3 -6
-7 -6 3 -5 2 1 -2 -6
-7 -6 3 -5 1 1 -2 -7
-9 -7 3 -5 1 2 -3 -6
-8 -7 3 -6 1 1 -3 -7
-7 -7 4 -5 1 1 -3 -7
-8 -7 4 -6 1 1 -3 -7
-9 -8 4 -6 1 1 -3 -7
-8 -7 3 -7 0 0 -4 -8
-7 -7 3 -7 0 0 -3 -7
-7 -6 3 -6 0 0 -3 -6
-8 -6 2 -7 0 -2 -3 -7
-9 -6 2 -7 -2 -2 -4 -7
-8 -6 3 -8 -2 0 -4 -6
-7 -6 3 -7 -2 0 -3 -6
-8 -7 3 -8 -2 0 -4 -7
-9 -9 3 -8 -2 0 -4 -8
-8 -8 3 -8 0 -2 -5 -8
-7 -7 2 -9 0 -3 -5 -8
-6 -6 2 -9 0 -3 -5 -8
-7 -6 3 -7 1 0 -3 -7
-9 -7 3 -8 0 -2 -3 -7
-9 -8 2 -9 -2 -3 -5 -8
-5 -6 2 -9 -2 -2 -5 -8
-2 -5 4 -8 0 0 -3 -7
-4 -6 4 -7 -2 -2 -3 -7
-8 -9 2 -8 -2 -3 -3 -7
-9 -11 2 -9 -2 -2 -4 -7
-9 -11 2 -9 -2 -2 -5 -8
-9 -10 2 -9 -2 -2 -5 -9
-8 -8 1 -9 -3 -3 -5 -9
-7 -6 2 -9 -2 -2 -4 -8
-7 -5 2 -9 -2 -2 -5 -7
-7 -4 2 -8 0 -2 -4 -6
-6 -2 4 -7 0 -2 -3 -7
-6 -4 4 -7 0 -2 -3 -7
-7 -5 3 -8 0 -2 -4 -8
-6 -2 4 -8 1 -2 -3 -8
-5 2 5 -6 2 0 -2 -7
-5 2 6 -6 2 0 -2 -6
-6 2 7 -6 2 1 -3 -6
-6 3 8 -5 4 3 0 -5
-6 4 8 -5 4 3 0 -5
-6 4 8 -5 3 2 0 -5
-6 3 10 -4 4 3 0 -4
